EN         MASS-RATIO DATA       DATA-ERR                         D107300200008 
MEV        NO-DIM     PC/FIS     PC/FIS                           D107300200009 
 142.6      0.465      4.907      0.131                           D107300300024 
 142.6      0.475      5.559      0.140                           D107300300025 
 142.6      0.485      5.619      0.141                           D107300300026 
 142.6      0.495      5.401      0.138                           D107300300027 
 142.6      0.505      5.401      0.138                           D107300300028 
 142.6      0.515      5.619      0.141                           D107300300029 
 142.6      0.525      5.559      0.140                           D107300300030 
 142.6      0.535      4.907      0.131                           D107300300031 
 142.6      0.545      5.161      0.135                           D107300300032 
 142.6      0.555      4.714      0.129                           D107300300033 
 142.6      0.565      4.499      0.126                           D107300300034 
 142.6      0.575      3.777      0.115                           D107300300035 
 142.6      0.585      3.157      0.105                           D107300300036 
 142.6      0.595      2.787      0.099                           D107300300037 
 142.6      0.605      2.248      0.089                           D107300300038 
 142.6      0.615      1.793      0.079                           D107300300039 
 142.6      0.625      1.201      0.065                           D107300300040 
 142.6      0.635      0.927      0.057                           D107300300041 
 142.6      0.645      0.824      0.054                           D107300300042 
 142.6      0.655      0.532      0.043                           D107300300043 
 142.6      0.665      0.416      0.038                           D107300300044 
 142.6      0.675      0.243      0.029                           D107300300045 
 146.7      0.295      0.143      0.020                           D107300300046 
 146.7      0.305      0.180      0.022                           D107300300047 
 146.7      0.315      0.215      0.024                           D107300300048 
 146.7      0.325      0.289      0.028                           D107300300049 
 146.7      0.335      0.433      0.034                           D107300300050 
 146.7      0.345      0.581      0.039                           D107300300051 
 146.7      0.355      0.746      0.044                           D107300300052 
 146.7      0.365      1.019      0.052                           D107300300053 
 146.7      0.375      1.290      0.059                           D107300300054 
 146.7      0.385      1.757      0.068                           D107300300055 
 146.7      0.395      2.160      0.076                           D107300300056 
 146.7      0.405      2.704      0.085                           D107300300057 
 146.7      0.415      3.248      0.093                           D107300300058 
 146.7      0.425      3.729      0.099                           D107300300059 
 146.7      0.435      4.254      0.106                           D107300300060 
 146.7      0.445      4.873      0.114                           D107300300061 
 146.7      0.455      4.963      0.115                           D107300300062 
 146.7      0.465      5.207      0.118                           D107300300063 
 146.7      0.475      5.231      0.118                           D107300300064 
 146.7      0.485      5.454      0.120                           D107300300065 
 146.7      0.495      5.287      0.118                           D107300300066 
 146.7      0.505      5.287      0.118                           D107300300067 
 146.7      0.515      5.454      0.120                           D107300300068 
 146.7      0.525      5.231      0.118                           D107300300069 
 146.7      0.535      5.202      0.117                           D107300300070 
 146.7      0.545      4.968      0.115                           D107300300071 
 146.7      0.555      4.870      0.114                           D107300300072 
 146.7      0.565      4.254      0.106                           D107300300073 
 146.7      0.575      3.731      0.100                           D107300300074 
 146.7      0.585      3.248      0.093                           D107300300075 
 146.7      0.595      2.704      0.085                           D107300300076 
 146.7      0.605      2.160      0.076                           D107300300077 
 146.7      0.615      1.757      0.068                           D107300300078 
 146.7      0.625      1.290      0.059                           D107300300079 
 146.7      0.635      1.016      0.052                           D107300300080 
 146.7      0.645      0.748      0.045                           D107300300081 
 146.7      0.655      0.581      0.039                           D107300300082 
 146.7      0.665      0.433      0.034                           D107300300083 
 146.7      0.675      0.289      0.028                           D107300300084 
 146.7      0.685      0.215      0.024                           D107300300085 
 146.7      0.695      0.180      0.022                           D107300300086 
 146.7      0.705      0.143      0.020                           D107300300087 
 151.3      0.295      0.150      0.024                           D107300300088 
 151.3      0.305      0.166      0.025                           D107300300089 
 151.3      0.315      0.220      0.029                           D107300300090 
 151.3      0.325      0.304      0.034                           D107300300091 
 151.3      0.335      0.447      0.042                           D107300300092 
 151.3      0.345      0.536      0.045                           D107300300093 
 151.3      0.355      0.767      0.054                           D107300300094 
 151.3      0.365      0.967      0.061                           D107300300095 
 151.3      0.375      1.233      0.069                           D107300300096 
 151.3      0.385      1.777      0.083                           D107300300097 
 151.3      0.395      2.174      0.092                           D107300300098 
 151.3      0.405      2.860      0.105                           D107300300099 
 151.3      0.415      3.461      0.116                           D107300300100 
 151.3      0.425      3.823      0.121                           D107300300101 
 151.3      0.435      4.510      0.132                           D107300300102 
 151.3      0.445      4.563      0.133                           D107300300103 
 151.3      0.455      5.041      0.139                           D107300300104 
 151.3      0.465      5.076      0.140                           D107300300105 
 151.3      0.475      5.346      0.144                           D107300300106 
 151.3      0.485      5.153      0.141                           D107300300107 
 151.3      0.495      5.188      0.141                           D107300300108 
 151.3      0.505      5.188      0.141                           D107300300109 
 151.3      0.515      5.153      0.141                           D107300300110 
 151.3      0.525      5.346      0.144                           D107300300111 
 151.3      0.535      5.076      0.140                           D107300300112 
 151.3      0.545      5.038      0.139                           D107300300113 
 151.3      0.555      4.567      0.133                           D107300300114 
 151.3      0.565      4.510      0.132                           D107300300115 
 151.3      0.575      3.823      0.121                           D107300300116 
 151.3      0.585      3.461      0.116                           D107300300117 
 151.3      0.595      2.860      0.105                           D107300300118 
 151.3      0.605      2.174      0.092                           D107300300119 
 151.3      0.615      1.777      0.083                           D107300300120 
 151.3      0.625      1.230      0.069                           D107300300121 
 151.3      0.635      0.971      0.061                           D107300300122 
 151.3      0.645      0.767      0.054                           D107300300123 
 151.3      0.655      0.536      0.045                           D107300300124 
 151.3      0.665      0.447      0.042                           D107300300125 
 151.3      0.675      0.304      0.034                           D107300300126 
 151.3      0.685      0.220      0.029                           D107300300127 
 151.3      0.695      0.166      0.025                           D107300300128 
 151.3      0.705      0.150      0.024                           D107300300129 
 156.0      0.325      0.461      0.025                           D107300300130 
 156.0      0.335      0.630      0.029                           D107300300131 
 156.0      0.345      0.786      0.032                           D107300300132 
 156.0      0.355      0.955      0.035                           D107300300133 
 156.0      0.365      1.133      0.038                           D107300300134 
 156.0      0.375      1.535      0.045                           D107300300135 
 156.0      0.385      1.975      0.051                           D107300300136 
 156.0      0.395      2.188      0.053                           D107300300137 
 156.0      0.405      2.766      0.060                           D107300300138 
 156.0      0.415      3.415      0.067                           D107300300139 
 156.0      0.425      3.851      0.071                           D107300300140 
 156.0      0.435      4.394      0.076                           D107300300141 
 156.0      0.445      4.520      0.077                           D107300300142 
 156.0      0.455      4.916      0.080                           D107300300143 
 156.0      0.465      4.847      0.079                           D107300300144 
 156.0      0.475      5.182      0.082                           D107300300145 
 156.0      0.485      5.104      0.082                           D107300300146 
 156.0      0.495      5.105      0.082                           D107300300147 
 156.0      0.505      5.105      0.082                           D107300300148 
 156.0      0.515      5.104      0.082                           D107300300149 
 156.0      0.525      5.182      0.082                           D107300300150 
 156.0      0.535      4.846      0.079                           D107300300151 
 156.0      0.545      4.916      0.080                           D107300300152 
 156.0      0.555      4.521      0.077                           D107300300153 
 156.0      0.565      4.394      0.076                           D107300300154 
 156.0      0.575      3.849      0.071                           D107300300155 
 156.0      0.585      3.416      0.067                           D107300300156 
 156.0      0.595      2.764      0.060                           D107300300157 
 156.0      0.605      2.191      0.053                           D107300300158 
 156.0      0.615      1.975      0.051                           D107300300159 
 156.0      0.625      1.535      0.045                           D107300300160 
 156.0      0.635      1.133      0.038                           D107300300161 
 156.0      0.645      0.954      0.035                           D107300300162 
 156.0      0.655      0.787      0.032                           D107300300163 
 156.0      0.665      0.630      0.029                           D107300300164 
 156.0      0.675      0.461      0.025                           D107300300165 
 160.5      0.295      0.247      0.017                           D107300300166 
 160.5      0.305      0.283      0.019                           D107300300167 
 160.5      0.315      0.373      0.021                           D107300300168 
 160.5      0.325      0.426      0.023                           D107300300169 
 160.5      0.335      0.554      0.026                           D107300300170 
 160.5      0.345      0.727      0.030                           D107300300171 
 160.5      0.355      0.897      0.033                           D107300300172 
 160.5      0.365      1.121      0.037                           D107300300173 
 160.5      0.375      1.479      0.043                           D107300300174 
 160.5      0.385      1.815      0.047                           D107300300175 
 160.5      0.395      2.163      0.052                           D107300300176 
 160.5      0.405      2.857      0.059                           D107300300177 
 160.5      0.415      3.313      0.064                           D107300300178 
 160.5      0.425      3.792      0.068                           D107300300179 
 160.5      0.435      4.278      0.073                           D107300300180 
 160.5      0.445      4.436      0.074                           D107300300181 
 160.5      0.455      4.825      0.077                           D107300300182 
 160.5      0.465      4.868      0.077                           D107300300183 
 160.5      0.475      5.231      0.080                           D107300300184 
 160.5      0.485      5.112      0.079                           D107300300185 
 160.5      0.495      4.970      0.078                           D107300300186 
 160.5      0.505      4.970      0.078                           D107300300187 
 160.5      0.515      5.112      0.079                           D107300300188 
 160.5      0.525      5.230      0.080                           D107300300189 
 160.5      0.535      4.868      0.077                           D107300300190 
 160.5      0.545      4.822      0.077                           D107300300191 
 160.5      0.555      4.439      0.074                           D107300300192 
 160.5      0.565      4.275      0.073                           D107300300193 
 160.5      0.575      3.795      0.068                           D107300300194 
 160.5      0.585      3.312      0.064                           D107300300195 
 160.5      0.595      2.857      0.059                           D107300300196 
 160.5      0.605      2.163      0.052                           D107300300197 
 160.5      0.615      1.813      0.047                           D107300300198 
 160.5      0.625      1.480      0.043                           D107300300199 
 160.5      0.635      1.121      0.037                           D107300300200 
 160.5      0.645      0.897      0.033                           D107300300201 
