LVL-NUMB   ANG        ANG-ERR    EN         DATA       ERR-S      D106200200009 
NO-DIM     ADEG       ADEG       KEV        MB/SR      MB/SR      D106200200010 
 1.         165.       1.0        1506.4      7.35      0.16      D106200200392 
 1.         165.       1.0        1516.4      7.08      0.17      D106200200393 
 1.         165.       1.0        1526.4      7.06      0.18      D106200200394 
 1.         165.       1.0        1536.4      7.05      0.18      D106200200395 
 1.         165.       1.0        1546.4      6.75      0.18      D106200200396 
 1.         165.       1.0        1551.4      6.74      0.18      D106200200397 
 1.         165.       1.0        1556.4      6.95      0.18      D106200200398 
 1.         165.       1.0        1561.4      8.85      0.20      D106200200399 
 1.         165.       1.0        1566.4      6.95      0.16      D106200200400 
 1.         165.       1.0        1571.4      6.18      0.15      D106200200401 
 1.         165.       1.0        1576.4      5.36      0.16      D106200200402 
 1.         165.       1.0        1581.4      5.11      0.16      D106200200403 
 1.         165.       1.0        1586.4      5.69      0.16      D106200200404 
 1.         165.       1.0        1591.4      5.76      0.16      D106200200405 
 1.         165.       1.0        1596.4      6.05      0.12      D106200200406 
 1.         165.       1.0        1601.4      6.05      0.17      D106200200407 
