ENTRY            F0116   20251209                             F103F0116000    1 
SUBENT        F0116001   20251209                             F103F0116001    1 
BIB                  8         17                                 F0116001    2 
TITLE      The angular distribution and excitation of the long    F0116001    3 
           -range protons from the 9Be(d,p)10Be reaction.         F0116001    4 
AUTHOR     (F.L.Canavan)                                          F0116001    5 
INSTITUTE  (1USACUA)                                              F0116001    6 
REFERENCE  (J,PR,87,136,1952)                                     F0116001    7 
FACILITY   (VDG,1USACAW) Statitron.                               F0116001    8 
SAMPLE     Thin films of beryllium evaporated on 1-mil tungsten   F0116001    9 
           foils.                                                 F0116001   10 
DETECTOR   (PLATE) Eastman NTA plates with an emulsion 25 microns F0116001   11 
           thick.                                                 F0116001   12 
HISTORY    (19840516C)                                            F0116001   13 
           (19990407U) CNPD: corrected 4-dig. year and lower casesF0116001   14 
           (20110311A) Author's list was corrected. ERR-ANALYSIS  F0116001   15 
           codes in Sub 002, 004 were changed. FACILITY code in   F0116001   16 
           Sub 001 was added.                                     F0116001   17 
           (20200507A) SD: Corrections in all Subents.            F0116001   18 
           (20251209U) SD: Corrections in all Subents.            F0116001   19 
ENDBIB              17          0                                 F0116001   20 
NOCOMMON             0          0                                 F0116001   21 
ENDSUBENT           20          0                                 F011600199999 
SUBENT        F0116002   20251209                             F103F0116002    1 
BIB                  4         13                                 F0116002    2 
REACTION   (4-BE-9(D,P)4-BE-10,,DA,,REL)                          F0116002    3 
           No explanation of relative units is given.             F0116002    4 
ERR-ANALYS (ERR-T) Errors include both the statistical and        F0116002    5 
           systematic errors                                      F0116002    6 
           (ERR-1) The error introduced by multiple, small-angle, F0116002    7 
           Coulomb scattering at the absorbing foils              F0116002    8 
           (ERR-2) Possible displacement of the target from the   F0116002    9 
           geometrical center                                     F0116002   10 
           (ERR-3) Possible movement of the emulsion              F0116002   11 
           (ERR-4) Errors in counting                             F0116002   12 
STATUS     (CURVE,,F.L.Canavan,J,PR,87,136,1952) Fig. 4           F0116002   13 
HISTORY    (20200507U) SD: ERR-ANALYS, STATUS updated.            F0116002   14 
           (20251206U) SD: STATUS updated. DATA-ERR -> ERR-T.     F0116002   15 
ENDBIB              13          0                                 F0116002   16 
COMMON               5          3                                 F0116002   17 
COS-ERR-D  ERR-1      ERR-2      ERR-3      ERR-4                 F0116002   18 
NO-DIM     PER-CENT   PER-CENT   PER-CENT   PER-CENT              F0116002   19 
 0.010      2.         1.         1.         1.                   F0116002   20 
ENDCOMMON            3          0                                 F0116002   21 
DATA                 4        151                                 F0116002   22 
      1.102       2.88                                            F0116004   29 
      1.169       2.98                                            F0116004   30 
      1.209       3.04                                            F0116004   31 
      1.250       3.14                                            F0116004   32 
      1.317       3.14                                            F0116004   33 
      1.358       3.24                                            F0116004   34 
      1.411       3.04                                            F0116004   35 
      1.452       3.10                                            F0116004   36 
      1.506       3.14                                            F0116004   37 
      1.559       3.14                                            F0116004   38 
      1.600       3.23                                            F0116004   39 
      1.641       3.36                                            F0116004   40 
      1.694       3.43                                            F0116004   41 
      1.816       3.75                                            F0116004   42 
      1.857       4.01                                            F0116004   43 
      1.898       4.33                                            F0116004   44 
      1.966       4.52                                            F0116004   45 
      2.006       4.56                                            F0116004   46 
      2.047       4.68                                            F0116004   47 
      2.114       4.65                                            F0116004   48 
      2.155       4.75                                            F0116004   49 
      2.194       4.52                                            F0116004   50 
      2.248       4.42                                            F0116004   51 
      2.289       4.49                                            F0116004   52 
      2.356       4.52                                            F0116004   53 
      2.396       4.42                                            F0116004   54 
      2.450       4.26                                            F0116004   55 
      2.490       4.45                                            F0116004   56 
      2.558       4.48                                            F0116004   57 
      2.611       4.52                                            F0116004   58 
      2.665       4.48                                            F0116004   59 
      2.706       4.51                                            F0116004   60 
      2.759       4.55                                            F0116004   61 
      2.800       4.84                                            F0116004   62 
      2.841       5.03                                            F0116004   63 
      2.909       5.29                                            F0116004   64 
      2.964       5.68                                            F0116004   65 
ENDDATA             51          0                                 F0116004   66 
ENDSUBENT           65          0                                 F011600499999 
ENDENTRY             4          0                                 F011699999999 
